original_path,local_archive_path,bytes,sha256,reason
results/final-spade-c3.ckpt.jsonl,archive/generated/local-untracked/results/final-spade-c3.ckpt.jsonl,27860733,1558a9e127c4de6b71ec089b978777973b148c7f6f0867a350a6b2f4a9b34175,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-c4.ckpt.jsonl,archive/generated/local-untracked/results/final-spade-c4.ckpt.jsonl,25538660,1c54786aa21193b7265a837b2fb48d2576a53c2ea199c9ee89244e9064edfe64,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-combined.json,archive/generated/local-untracked/results/final-spade-combined.json,194616189,cdee79a1458cc7f4302fce833233e5dafe1867c75601c9286c626b13d53b22fc,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-primary.json,archive/generated/local-untracked/results/final-spade-primary.json,194616189,cdee79a1458cc7f4302fce833233e5dafe1867c75601c9286c626b13d53b22fc,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-s1.ckpt.jsonl,archive/generated/local-untracked/results/final-spade-s1.ckpt.jsonl,27660147,0d82ffd9dd505829b009d2ca7196589bab7221b645b633690e1ba6139b03f6c0,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-s2.ckpt.jsonl,archive/generated/local-untracked/results/final-spade-s2.ckpt.jsonl,27335520,ebfed655ca36ae0d5acea98339d8b44d69347216583da71879acac1ed400d041,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/final-spade-s3.ckpt.jsonl,archive/generated/local-untracked/results/final-spade-s3.ckpt.jsonl,27769596,66446ae73f2e1d327570cd8b477e2e5358395b0623b3cf58c1591661cabbebdc,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c2-spade_cf_diverse_batch.ckpt.jsonl,archive/generated/local-untracked/results/kf3-followup-c2-spade_cf_diverse_batch.ckpt.jsonl,2386725,46ae7c816efdd4970e6606b001ed70671a5d567c143371b6ae2eef45b423d248,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c2-spade_cf_diverse_batch.json,archive/generated/local-untracked/results/kf3-followup-c2-spade_cf_diverse_batch.json,2625810,234e1f3fdf34e43093e4c73bdce5d05ce65b9ee0133251e4fc0593e8080dd587,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c2-spade_cf_erroraware.ckpt.jsonl,archive/generated/local-untracked/results/kf3-followup-c2-spade_cf_erroraware.ckpt.jsonl,2384430,88f1972df9f223119761d48817e5dde0e86d4af52f55b01bdc8f35e80193e50b,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c2-spade_cf_erroraware.json,archive/generated/local-untracked/results/kf3-followup-c2-spade_cf_erroraware.json,2623512,aae15a73b29d50c957203739fc55b090fb2e2cb2d523fd9efbb7a4ff4280e57a,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c3-spade_cf_diverse_batch.ckpt.jsonl,archive/generated/local-untracked/results/kf3-followup-c3-spade_cf_diverse_batch.ckpt.jsonl,2341073,5304f2caf69d9460a5c3244c652a1e3dbd7afa0f7887a08262cbd47d949c05fc,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c3-spade_cf_diverse_batch.json,archive/generated/local-untracked/results/kf3-followup-c3-spade_cf_diverse_batch.json,2580158,6c8d6c7fcac1410ee405e6e632735a9a4b7ca15f224d446ec2017d4a225adffb,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c3-spade_cf_erroraware.ckpt.jsonl,archive/generated/local-untracked/results/kf3-followup-c3-spade_cf_erroraware.ckpt.jsonl,2333507,016bbda73057b18f973d0c66589c6e82a05b66d6da5723628284f552216b9ccf,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kf3-followup-c3-spade_cf_erroraware.json,archive/generated/local-untracked/results/kf3-followup-c3-spade_cf_erroraware.json,2572589,490b2eb0a8cb15ce2d6cc3bbfcf9b7b7ad6a08cca6f168cd644cd7ce81526c9e,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/ks-analysis.json,archive/generated/local-untracked/results/ks-analysis.json,1006,62c1a8181f6d0057d78765fd18cf279f387c8938aac36c1fa9c63f0776d2bbd7,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/ks-self-calibration.json,archive/generated/local-untracked/results/ks-self-calibration.json,503356,4819194c7ec07515a17cfd5e0bee33db20633dde9e0bfac59446109a18b39477,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/ktb-inflation-fine.json,archive/generated/local-untracked/results/ktb-inflation-fine.json,21403828,b043ebe19a95ce0369992b3b7187cdc20b9e05109a8311658d493fcf94ee1582,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/ktb-inflation.json,archive/generated/local-untracked/results/ktb-inflation.json,8559615,8eca0763fa7bf532dde3bea22c8347b070aaad87f6a8ce7ba7a718061c0be0cc,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/ku-prevalence-matched.json,archive/generated/local-untracked/results/ku-prevalence-matched.json,14658546,d2ebd8cfd3f30d3a08418eee959fa028a1a75134cd9c24adb168635850adeacb,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kv-plate2-certificate.json,archive/generated/local-untracked/results/kv-plate2-certificate.json,12745286,734ab519d1e6df5e261c78ca16a8fe2cc1d19156c94fdabae92376b510beafd8,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kw-selection-blind.json,archive/generated/local-untracked/results/kw-selection-blind.json,2147513,ad21f09eb84af9dcf1a8dd7a505b6a056582e9725b138abd01e5c20826cc91f5,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kx-ackley.json,archive/generated/local-untracked/results/kx-ackley.json,4182841,4b0b3b698def07499c271b4bf3dbf167308ac4a9325c13a557cc2bea18df3dd3,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kx-hartmann6.json,archive/generated/local-untracked/results/kx-hartmann6.json,4172774,ca55a9528908c058dac93a9633e379b71c4cdf0480a15772c475d9e0f93e83f0,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kx-levy.json,archive/generated/local-untracked/results/kx-levy.json,4119519,55dbebf3e673e5b24810bb881bea209c854c413e991262b13966b99ea36d3c6c,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/kx-rosenbrock.json,archive/generated/local-untracked/results/kx-rosenbrock.json,4152191,a1853e799cb4b092c0bbb59ca6337104d0afcd28a69f5bee2d93a963d9fab1c8,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p2-versionb-gamma.json.partial,archive/generated/local-untracked/results/p2-versionb-gamma.json.partial,8384884,bc0d35733fae24c2ef5b551592462c65c48bc8a63236ebaab5d922f0d853bb7c,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-ackley-d6-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-ackley-d6-s0.1.ckpt.jsonl,11997156,34842354fba82ab98e598efc00abaecaee0ff47e79e741c91b4c5eb37cd9a01e,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-ackley-d6-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-ackley-d6-s0.25.ckpt.jsonl,11624353,a185949c6dca4ff5d93aa7047d10e2eacd09174c108b415862f74aeaf98bb3f3,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-ackley-d8-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-ackley-d8-s0.1.ckpt.jsonl,11945202,c6109a06b8d8464432491dc570a4130b5c2a01c5f5bb21f17f484fd2e4886e9e,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-ackley-d8-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-ackley-d8-s0.25.ckpt.jsonl,11605612,adaad41cd382c14c8458014819440dd0471fab0aabad45a69dd3b3c8cb2f68f5,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-drive.stdout,archive/generated/local-untracked/results/p6-drive.stdout,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-families.json,archive/generated/local-untracked/results/p6-families.json,218941029,7aaf19e580b14e02c31f27798e7b9613e6d850408425ac8f15b3ea32d99f73a2,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-hartmann6-d6-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-hartmann6-d6-s0.1.ckpt.jsonl,11973412,5ac9acd08ea4ab630cd1255a9f474df0d4cc5cdbb282f029473d7f3cbc594f6b,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-hartmann6-d6-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-hartmann6-d6-s0.25.ckpt.jsonl,10616012,f27a3a119a0bdd87c065b4ed248e1d0b7b29ad32f0f1bab22edb8b462f44e36e,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-hartmann6-d8-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-hartmann6-d8-s0.1.ckpt.jsonl,12069629,4be28ad91493ab4d5721512e4707d9354323440ead9d7bff9e955c91359c5a8a,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-hartmann6-d8-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-hartmann6-d8-s0.25.ckpt.jsonl,11660910,ea82edefef73ba9c78db557085813507b4b0a50befe37ce64977bb4349883c6f,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-levy-d6-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-levy-d6-s0.1.ckpt.jsonl,11740458,00a5d9b06cd7c4526d8fb0058cad0a803d90bd612a6e3e4d9087f65f8f91c141,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-levy-d6-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-levy-d6-s0.25.ckpt.jsonl,11365274,497d78baea2f2d9f971fdbbf059a649c7570a5c936e3334bb0ad853073c5a015,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-levy-d8-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-levy-d8-s0.1.ckpt.jsonl,11737750,739551b1b3c48f50640ed94d350ec3c6abdb4eb8cc9ccb55925827bf067be21e,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-levy-d8-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-levy-d8-s0.25.ckpt.jsonl,11381010,53f34785a98d7a246f5dde9e64d99bc33a1d14dc399a8edd06cc1776c61b5a89,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-rosenbrock-d6-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-rosenbrock-d6-s0.1.ckpt.jsonl,11749988,f6b7d7440de01e6f2ca16848c199ae9f77ef92de9f7d73959800cad48ec34e26,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-rosenbrock-d6-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-rosenbrock-d6-s0.25.ckpt.jsonl,11387299,06fca52fe3679423db57cb306d2ec4505d5e9ec240ae598ca8b09287930f1343,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-rosenbrock-d8-s0.1.ckpt.jsonl,archive/generated/local-untracked/results/p6-rosenbrock-d8-s0.1.ckpt.jsonl,11764106,2c7546553c6e604965388cbdb9ab2e6b7d44b7d1c28c4062589ddb2b0047238a,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/p6-rosenbrock-d8-s0.25.ckpt.jsonl,archive/generated/local-untracked/results/p6-rosenbrock-d8-s0.25.ckpt.jsonl,11390011,9920ffa2db8ea2656c7a62cf79572bf96258d3ba6c69d65c5058ca399c786091,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/pf1-grid.json,archive/generated/local-untracked/results/pf1-grid.json,167637,1f45345c72f90f7fd2b729a5a48fd180612901b716c3465d8dfe72c9f3891ec5,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/q59-map-rescore.SUPERSEDED-sigma_add-bug.json,archive/generated/local-untracked/results/q59-map-rescore.SUPERSEDED-sigma_add-bug.json,3687132,24a978d772fd4918a69d03c73abf3654423db1b77f1216014c38add08644f187,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/q59-map-rescore.ckpt.PREFIX-sigma_add-bug.jsonl,archive/generated/local-untracked/results/q59-map-rescore.ckpt.PREFIX-sigma_add-bug.jsonl,3294819,a58c6a3a699244da02a30be564b5d2311911008fba650b02d9b30dc3c6e6e0f9,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/q59-map-rescore.ckpt.jsonl,archive/generated/local-untracked/results/q59-map-rescore.ckpt.jsonl,3292547,ac950a76899f1375ae05bbe631eeb209bf51a8c0d10a405e95886da0b97ecf36,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/q59-map-rescore.json.partial,archive/generated/local-untracked/results/q59-map-rescore.json.partial,3684914,a4627bd3c0eb6117aa4365560ebcde3e371a87732533982a82c933bf439e407f,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
results/tau-quantile-followup.json,archive/generated/local-untracked/results/tau-quantile-followup.json,14798700,64dea3cbf7e9bdd3d482c77fbe5a899b21f44318ff6395acf1f717d9ba694b27,"Ignored non-baseline output; preserved locally, excluded from publication Git history"
