path,day,instrument,coverage_frac,otsu_threshold,otsu_separability,coverage_trustworthy,focus,mean_intensity,std_intensity,contrast,objective,exposure,gain,light_intensity,captured,comparability_key
raw/microscopy/leica/2026-08-10/Leica_2026-08-10 fenxuan later-copy.jpeg,2026-08-10,leica,0.31517,0.039487,0.66251,True,0.00245285,0.41734,0.11965,PH,4X,19000.0,1.0,45.0,2026-08-10T18:19:26.915000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-10/Leica_2026-08-10 fenxuan later.jpeg,2026-08-10,leica,0.28226,0.039624,0.66908,True,0.0020715,0.41096,0.11916,PH,4X,19000.0,1.0,45.0,2026-08-10T17:15:27.055000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-10/Leica_2026-08-10 fenxuan.jpeg,2026-08-10,leica,0.19394,0.031268,0.68194,True,0.00118387,0.45344,0.09857,PH,4X,19000.0,1.0,45.0,2026-08-10T18:19:10.750000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-10/Leica_2026-08-10 iec p6.jpeg,2026-08-10,leica,0.32426,0.051807,0.68995,True,0.00680532,0.45295,0.09898,PH,4X,19000.0,1.0,45.0,2026-08-10T18:19:38.999000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 1-1.jpeg,2026-08-11,leica,0.31854,0.047951,0.61543,True,0.00390101,0.5018,0.06776,PH,4X,19000.0,1.0,45.0,2026-08-11T15:15:50.084000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 1-2.jpeg,2026-08-11,leica,0.31466,0.050215,0.6063,True,0.00326381,0.44448,0.07742,PH,4X,19000.0,1.0,45.0,2026-08-11T15:15:55.165000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 3-1.jpeg,2026-08-11,leica,0.29843,0.053935,0.61079,True,0.00441628,0.441,0.07758,PH,4X,19000.0,1.0,45.0,2026-08-11T15:16:02.831000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 3-2.jpeg,2026-08-11,leica,0.31076,0.059142,0.63599,True,0.00701841,0.51375,0.08573,PH,4X,19000.0,1.0,45.0,2026-08-11T15:16:10.301000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 fenxuan later.jpeg,2026-08-11,leica,0.30419,0.035497,0.63232,True,0.00172744,0.39822,0.10465,PH,4X,19000.0,1.0,45.0,2026-08-11T15:14:08.668000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 iec-copy.jpeg,2026-08-11,leica,0.35777,0.072474,0.63948,True,0.00969139,0.46212,0.09837,PH,4X,19000.0,1.0,45.0,2026-08-11T12:51:56.465000,PH|4X|19000|1|45
raw/microscopy/leica/2026-08-11/Leica_2026-08-11 iec.jpeg,2026-08-11,leica,0.36372,0.073892,0.64094,True,0.00963547,0.46233,0.10243,PH,4X,19000.0,1.0,45.0,2026-08-11T12:51:47.584000,PH|4X|19000|1|45
