P7 · Murphy decomposition · HEAD=d70eadc7 · python=3.11.15
cell hill d=6 sigma_rel=0.25 · arms=('doe', 'qlogei', 'qlognei', 'lhs', 'sobol', 'random', 'versionb', 'versionb_random', 'versionb_predictive', 'plate1_only')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) · 10 equal-count bins
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 10 arms = 500 campaigns

[  7/50] lhs      32bb966a18f1d863 seed=0 regret=0.0709 rows=24 (1.9s)
[  7/50] sobol    32bb966a18f1d863 seed=0 regret=0.2467 rows=24 (1.9s)
[  7/50] random   32bb966a18f1d863 seed=0 regret=0.2431 rows=24 (2.0s)
[  7/50] versionb 32bb966a18f1d863 seed=0 regret=0.1175 rows=24 (2.7s)
[  7/50] versionb_random 32bb966a18f1d863 seed=0 regret=0.1175 rows=24 (2.2s)
[  7/50] versionb_predictive 32bb966a18f1d863 seed=0 regret=0.1175 rows=24 (2.6s)
[  7/50] plate1_only 32bb966a18f1d863 seed=0 regret=0.0709 rows=24 (2.0s)
[  8/50] doe      32bb966a18f1d863 seed=1 regret=0.1131 rows=24 (2.2s)
[  8/50] qlogei   32bb966a18f1d863 seed=1 regret=0.1552 rows=24 (8.3s)
[  8/50] qlognei  32bb966a18f1d863 seed=1 regret=0.1342 rows=24 (14.9s)
[  8/50] lhs      32bb966a18f1d863 seed=1 regret=0.0512 rows=24 (2.2s)
[  8/50] sobol    32bb966a18f1d863 seed=1 regret=0.0925 rows=24 (2.3s)
[  8/50] random   32bb966a18f1d863 seed=1 regret=0.2186 rows=24 (2.1s)
[  8/50] versionb 32bb966a18f1d863 seed=1 regret=0.2324 rows=24 (2.7s)
[  8/50] versionb_random 32bb966a18f1d863 seed=1 regret=0.2324 rows=24 (2.3s)
[  8/50] versionb_predictive 32bb966a18f1d863 seed=1 regret=0.2324 rows=24 (2.7s)
[  8/50] plate1_only 32bb966a18f1d863 seed=1 regret=0.0512 rows=24 (2.1s)
[  9/50] doe      443c180247c17191 seed=0 regret=0.0725 rows=24 (2.1s)
[  9/50] qlogei   443c180247c17191 seed=0 regret=0.1458 rows=24 (13.7s)
[  9/50] qlognei  443c180247c17191 seed=0 regret=0.2778 rows=24 (14.6s)
[  9/50] lhs      443c180247c17191 seed=0 regret=0.1934 rows=24 (2.1s)
[  9/50] sobol    443c180247c17191 seed=0 regret=0.2709 rows=24 (2.0s)
[  9/50] random   443c180247c17191 seed=0 regret=0.2646 rows=24 (2.0s)
[  9/50] versionb 443c180247c17191 seed=0 regret=0.0678 rows=24 (2.7s)
[  9/50] versionb_random 443c180247c17191 seed=0 regret=0.0678 rows=24 (2.5s)
[  9/50] versionb_predictive 443c180247c17191 seed=0 regret=0.0678 rows=24 (2.5s)
[  9/50] plate1_only 443c180247c17191 seed=0 regret=0.1934 rows=24 (2.2s)
[ 10/50] doe      443c180247c17191 seed=1 regret=0.1202 rows=24 (2.2s)
[ 10/50] qlogei   443c180247c17191 seed=1 regret=0.1485 rows=24 (10.8s)
[ 10/50] qlognei  443c180247c17191 seed=1 regret=0.1450 rows=24 (15.2s)
[ 10/50] lhs      443c180247c17191 seed=1 regret=0.1269 rows=24 (2.5s)
[ 10/50] sobol    443c180247c17191 seed=1 regret=0.3042 rows=24 (2.3s)
[ 10/50] random   443c180247c17191 seed=1 regret=0.1323 rows=24 (2.6s)
[ 10/50] versionb 443c180247c17191 seed=1 regret=0.2313 rows=24 (3.3s)
[ 10/50] versionb_random 443c180247c17191 seed=1 regret=0.2313 rows=24 (2.6s)
[ 10/50] versionb_predictive 443c180247c17191 seed=1 regret=0.2313 rows=24 (3.5s)
[ 10/50] plate1_only 443c180247c17191 seed=1 regret=0.1269 rows=24 (2.7s)
[ 11/50] doe      48b1324dd0461cd9 seed=0 regret=0.0758 rows=24 (3.1s)
[ 11/50] qlogei   48b1324dd0461cd9 seed=0 regret=0.1818 rows=24 (15.1s)
[ 11/50] qlognei  48b1324dd0461cd9 seed=0 regret=0.0162 rows=24 (15.7s)
[ 11/50] lhs      48b1324dd0461cd9 seed=0 regret=0.1158 rows=24 (2.1s)
