spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
[  68/100] doe_unscreened       9f3cdb4d835c seed=2   rows=12 (4.6m, eta 2m)
[  69/100] doe_unscreened       c75f6d6f50fe seed=2   rows=12 (4.7m, eta 2m)
[  70/100] doe_unscreened       ce7334da318b seed=2   rows=12 (4.8m, eta 2m)
[  71/100] doe_unscreened       da5ec2fbb20c seed=2   rows=12 (4.9m, eta 2m)
[  72/100] doe_unscreened       e402c32907f2 seed=2   rows=12 (4.9m, eta 2m)
[  73/100] doe_unscreened       e946207e9dfe seed=2   rows=12 (5.0m, eta 2m)
[  74/100] doe_unscreened       ef2815cdafff seed=2   rows=12 (5.0m, eta 2m)
[  75/100] doe_unscreened       f79c5cf17503 seed=2   rows=12 (5.1m, eta 2m)
[  76/100] doe_unscreened       033466197eba seed=3   rows=12 (5.2m, eta 2m)
[  77/100] doe_unscreened       0a6e0788538a seed=3   rows=12 (5.3m, eta 2m)
[  78/100] doe_unscreened       0ed87c75239d seed=3   rows=12 (5.3m, eta 2m)
[  79/100] doe_unscreened       32bb966a18f1 seed=3   rows=12 (5.4m, eta 1m)
[  80/100] doe_unscreened       443c180247c1 seed=3   rows=12 (5.5m, eta 1m)
[  81/100] doe_unscreened       48b1324dd046 seed=3   rows=12 (5.5m, eta 1m)
[  82/100] doe_unscreened       4d4f7158b65b seed=3   rows=12 (5.6m, eta 1m)
[  83/100] doe_unscreened       51cf489c521a seed=3   rows=12 (5.6m, eta 1m)
[  84/100] doe_unscreened       578e5d876835 seed=3   rows=12 (5.7m, eta 1m)
[  85/100] doe_unscreened       59e420274f43 seed=3   rows=12 (5.8m, eta 1m)
[  86/100] doe_unscreened       5b3926ef2c5f seed=3   rows=12 (5.8m, eta 1m)
[  87/100] doe_unscreened       763e0f589258 seed=3   rows=12 (5.9m, eta 1m)
[  88/100] doe_unscreened       7b6071e568a9 seed=3   rows=12 (6.0m, eta 1m)
[  89/100] doe_unscreened       7ef3fc89acec seed=3   rows=12 (6.0m, eta 1m)
[  90/100] doe_unscreened       7f5c7431c053 seed=3   rows=12 (6.1m, eta 1m)
[  91/100] doe_unscreened       8abe35e93ddf seed=3   rows=12 (6.1m, eta 1m)
[  92/100] doe_unscreened       9414bc879284 seed=3   rows=12 (6.2m, eta 1m)
[  93/100] doe_unscreened       9f3cdb4d835c seed=3   rows=12 (6.2m, eta 0m)
[  94/100] doe_unscreened       c75f6d6f50fe seed=3   rows=12 (6.3m, eta 0m)
[  95/100] doe_unscreened       ce7334da318b seed=3   rows=12 (6.4m, eta 0m)
[  96/100] doe_unscreened       da5ec2fbb20c seed=3   rows=12 (6.4m, eta 0m)
[  97/100] doe_unscreened       e402c32907f2 seed=3   rows=12 (6.5m, eta 0m)
[  98/100] doe_unscreened       e946207e9dfe seed=3   rows=12 (6.5m, eta 0m)
[  99/100] doe_unscreened       ef2815cdafff seed=3   rows=12 (6.6m, eta 0m)
[ 100/100] doe_unscreened       f79c5cf17503 seed=3   rows=12 (6.6m, eta 0m)

wrote final-spade-c2.json · 14400 rows
