Version C section 4's registered prediction · hartmann6 vs hill
  hartmann6 is multimodal with disconnected superlevel sets, so a single inscribed box is bounded by the largest component; hill is unimodal and has one component, so the decomposition has nothing to recover

[  74/300] hill        lhs        d=6 s=0.25 seed=24 comps 0..10 (1.7s)
[  75/300] hill        qlognei    d=6 s=0.25 seed=24 comps 0..3 (7.3s)
[  76/300] hill        versionb   d=6 s=0.1 seed=0 comps 0..1 (1.9s)
[  77/300] hill        lhs        d=6 s=0.1 seed=0 comps 1..4 (1.7s)
[  78/300] hill        qlognei    d=6 s=0.1 seed=0 comps 1..3 (10.1s)
[  79/300] hill        versionb   d=6 s=0.1 seed=1 comps 1..4 (1.9s)
[  80/300] hill        lhs        d=6 s=0.1 seed=1 comps 0..1 (1.4s)
[  81/300] hill        qlognei    d=6 s=0.1 seed=1 comps 1..7 (14.6s)
[  82/300] hill        versionb   d=6 s=0.1 seed=2 comps 1..2 (1.7s)
[  83/300] hill        lhs        d=6 s=0.1 seed=2 comps 1..5 (1.6s)
[  84/300] hill        qlognei    d=6 s=0.1 seed=2 comps 1..11 (10.2s)
[  85/300] hill        versionb   d=6 s=0.1 seed=3 comps 1..5 (1.9s)
[  86/300] hill        lhs        d=6 s=0.1 seed=3 comps 1..3 (1.5s)
[  87/300] hill        qlognei    d=6 s=0.1 seed=3 comps 1..10 (8.0s)
[  88/300] hill        versionb   d=6 s=0.1 seed=4 comps 1..4 (2.0s)
[  89/300] hill        lhs        d=6 s=0.1 seed=4 comps 1..3 (1.6s)
[  90/300] hill        qlognei    d=6 s=0.1 seed=4 comps 1..5 (9.9s)
[  91/300] hill        versionb   d=6 s=0.1 seed=5 comps 1..3 (2.1s)
[  92/300] hill        lhs        d=6 s=0.1 seed=5 comps 1..2 (1.6s)
[  93/300] hill        qlognei    d=6 s=0.1 seed=5 comps 0..1 (8.7s)
[  94/300] hill        versionb   d=6 s=0.1 seed=6 comps 0..7 (2.1s)
[  95/300] hill        lhs        d=6 s=0.1 seed=6 comps 1..6 (1.7s)
[  96/300] hill        qlognei    d=6 s=0.1 seed=6 comps 1..4 (7.6s)
[  97/300] hill        versionb   d=6 s=0.1 seed=7 comps 0..5 (1.8s)
[  98/300] hill        lhs        d=6 s=0.1 seed=7 comps 1..1 (1.4s)
[  99/300] hill        qlognei    d=6 s=0.1 seed=7 comps 1..5 (7.4s)
[ 100/300] hill        versionb   d=6 s=0.1 seed=8 comps 1..6 (1.9s)
[ 101/300] hill        lhs        d=6 s=0.1 seed=8 comps 0..2 (1.4s)
[ 102/300] hill        qlognei    d=6 s=0.1 seed=8 comps 0..14 (10.4s)
[ 103/300] hill        versionb   d=6 s=0.1 seed=9 comps 0..1 (1.6s)
[ 104/300] hill        lhs        d=6 s=0.1 seed=9 comps 1..5 (1.5s)
[ 105/300] hill        qlognei    d=6 s=0.1 seed=9 comps 1..4 (10.3s)
[ 106/300] hill        versionb   d=6 s=0.1 seed=10 comps 0..12 (2.0s)
[ 107/300] hill        lhs        d=6 s=0.1 seed=10 comps 1..6 (1.5s)
[ 108/300] hill        qlognei    d=6 s=0.1 seed=10 comps 1..6 (7.5s)
[ 109/300] hill        versionb   d=6 s=0.1 seed=11 comps 0..1 (1.6s)
[ 110/300] hill        lhs        d=6 s=0.1 seed=11 comps 1..3 (1.4s)
[ 111/300] hill        qlognei    d=6 s=0.1 seed=11 comps 1..9 (8.9s)
[ 112/300] hill        versionb   d=6 s=0.1 seed=12 comps 0..6 (2.0s)
[ 113/300] hill        lhs        d=6 s=0.1 seed=12 comps 0..12 (1.8s)
[ 114/300] hill        qlognei    d=6 s=0.1 seed=12 comps 1..1 (10.0s)
[ 115/300] hill        versionb   d=6 s=0.1 seed=13 comps 1..17 (2.4s)
[ 116/300] hill        lhs        d=6 s=0.1 seed=13 comps 1..3 (1.6s)
[ 117/300] hill        qlognei    d=6 s=0.1 seed=13 comps 1..2 (6.3s)
