K6 · design space vs regret · HEAD=fdd74596423990e0b9b6bc142d42e1df9e2b0af5 · python=3.11.15
cell d=6 sigma=0.25 · arms=('lhs', 'sobol', 'random')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) (of tau_max, never absolute)
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 3 arms = 150 campaigns

[ 23/50] lhs            763e0f58925816ca seed=0 regret=0.1848 active=6 (1.8s)
[ 23/50] sobol          763e0f58925816ca seed=0 regret=0.1860 active=6 (1.8s)
[ 23/50] random         763e0f58925816ca seed=0 regret=0.1831 active=6 (1.7s)
[ 24/50] lhs            763e0f58925816ca seed=1 regret=0.1617 active=6 (2.0s)
[ 24/50] sobol          763e0f58925816ca seed=1 regret=0.3031 active=6 (1.9s)
[ 24/50] random         763e0f58925816ca seed=1 regret=0.2451 active=6 (1.5s)
[ 25/50] lhs            7b6071e568a98779 seed=0 regret=0.1528 active=6 (1.7s)
[ 25/50] sobol          7b6071e568a98779 seed=0 regret=0.1003 active=6 (1.4s)
[ 25/50] random         7b6071e568a98779 seed=0 regret=0.2328 active=6 (2.3s)
[ 26/50] lhs            7b6071e568a98779 seed=1 regret=0.1065 active=6 (1.6s)
[ 26/50] sobol          7b6071e568a98779 seed=1 regret=0.0277 active=6 (1.7s)
[ 26/50] random         7b6071e568a98779 seed=1 regret=0.3129 active=6 (1.9s)
[ 27/50] lhs            7ef3fc89acece49c seed=0 regret=0.1102 active=6 (1.7s)
[ 27/50] sobol          7ef3fc89acece49c seed=0 regret=0.1195 active=6 (1.9s)
[ 27/50] random         7ef3fc89acece49c seed=0 regret=0.1668 active=6 (2.3s)
[ 28/50] lhs            7ef3fc89acece49c seed=1 regret=0.1411 active=6 (1.7s)
[ 28/50] sobol          7ef3fc89acece49c seed=1 regret=0.0594 active=6 (2.1s)
[ 28/50] random         7ef3fc89acece49c seed=1 regret=0.2833 active=6 (1.8s)
[ 29/50] lhs            7f5c7431c0530e74 seed=0 regret=0.1736 active=6 (1.7s)
[ 29/50] sobol          7f5c7431c0530e74 seed=0 regret=0.1819 active=6 (1.7s)
[ 29/50] random         7f5c7431c0530e74 seed=0 regret=0.2632 active=6 (1.7s)
[ 30/50] lhs            7f5c7431c0530e74 seed=1 regret=0.0770 active=6 (1.4s)
[ 30/50] sobol          7f5c7431c0530e74 seed=1 regret=0.1607 active=6 (1.4s)
[ 30/50] random         7f5c7431c0530e74 seed=1 regret=0.1607 active=6 (1.9s)
[ 31/50] lhs            8abe35e93ddfcad1 seed=0 regret=0.1436 active=6 (2.3s)
[ 31/50] sobol          8abe35e93ddfcad1 seed=0 regret=0.2074 active=6 (1.7s)
[ 31/50] random         8abe35e93ddfcad1 seed=0 regret=0.2428 active=6 (1.4s)
[ 32/50] lhs            8abe35e93ddfcad1 seed=1 regret=0.0626 active=6 (1.5s)
[ 32/50] sobol          8abe35e93ddfcad1 seed=1 regret=0.3218 active=6 (1.5s)
[ 32/50] random         8abe35e93ddfcad1 seed=1 regret=0.1547 active=6 (2.1s)
[ 33/50] lhs            9414bc879284eef0 seed=0 regret=0.0721 active=6 (3.1s)
[ 33/50] sobol          9414bc879284eef0 seed=0 regret=0.0633 active=6 (2.0s)
[ 33/50] random         9414bc879284eef0 seed=0 regret=0.2260 active=6 (2.0s)
[ 34/50] lhs            9414bc879284eef0 seed=1 regret=0.0199 active=6 (2.2s)
[ 34/50] sobol          9414bc879284eef0 seed=1 regret=0.0980 active=6 (1.8s)
[ 34/50] random         9414bc879284eef0 seed=1 regret=0.0980 active=6 (2.0s)
[ 35/50] lhs            9f3cdb4d835c6909 seed=0 regret=0.1740 active=6 (2.4s)
[ 35/50] sobol          9f3cdb4d835c6909 seed=0 regret=0.2203 active=6 (2.0s)
[ 35/50] random         9f3cdb4d835c6909 seed=0 regret=0.2109 active=6 (1.8s)
[ 36/50] lhs            9f3cdb4d835c6909 seed=1 regret=0.0834 active=6 (2.0s)
[ 36/50] sobol          9f3cdb4d835c6909 seed=1 regret=0.0486 active=6 (1.8s)
[ 36/50] random         9f3cdb4d835c6909 seed=1 regret=0.3117 active=6 (2.4s)
[ 37/50] lhs            c75f6d6f50fe2434 seed=0 regret=0.1175 active=6 (2.7s)
[ 37/50] sobol          c75f6d6f50fe2434 seed=0 regret=0.1554 active=6 (2.1s)
[ 37/50] random         c75f6d6f50fe2434 seed=0 regret=0.2852 active=6 (1.9s)
[ 38/50] lhs            c75f6d6f50fe2434 seed=1 regret=0.1543 active=6 (1.8s)
[ 38/50] sobol          c75f6d6f50fe2434 seed=1 regret=0.0501 active=6 (2.6s)
[ 38/50] random         c75f6d6f50fe2434 seed=1 regret=0.2985 active=6 (2.1s)
[ 39/50] lhs            ce7334da318bc5e5 seed=0 regret=0.1471 active=6 (3.0s)
[ 39/50] sobol          ce7334da318bc5e5 seed=0 regret=0.0998 active=6 (2.5s)
[ 39/50] random         ce7334da318bc5e5 seed=0 regret=0.1772 active=6 (2.0s)
[ 40/50] lhs            ce7334da318bc5e5 seed=1 regret=0.1080 active=6 (1.7s)
[ 40/50] sobol          ce7334da318bc5e5 seed=1 regret=0.2896 active=6 (2.4s)
[ 40/50] random         ce7334da318bc5e5 seed=1 regret=0.1737 active=6 (3.4s)
[ 41/50] lhs            da5ec2fbb20c9f9b seed=0 regret=0.1657 active=6 (2.1s)
[ 41/50] sobol          da5ec2fbb20c9f9b seed=0 regret=0.1506 active=6 (2.1s)
[ 41/50] random         da5ec2fbb20c9f9b seed=0 regret=0.2297 active=6 (1.8s)
[ 42/50] lhs            da5ec2fbb20c9f9b seed=1 regret=0.0737 active=6 (2.0s)
[ 42/50] sobol          da5ec2fbb20c9f9b seed=1 regret=0.2949 active=6 (1.9s)
[ 42/50] random         da5ec2fbb20c9f9b seed=1 regret=0.1565 active=6 (3.0s)
[ 43/50] lhs            e402c32907f27534 seed=0 regret=0.1957 active=6 (2.2s)
[ 43/50] sobol          e402c32907f27534 seed=0 regret=0.2477 active=6 (2.5s)
[ 43/50] random         e402c32907f27534 seed=0 regret=0.2644 active=6 (2.4s)
[ 44/50] lhs            e402c32907f27534 seed=1 regret=0.1179 active=6 (1.7s)
[ 44/50] sobol          e402c32907f27534 seed=1 regret=0.2596 active=6 (2.3s)
[ 44/50] random         e402c32907f27534 seed=1 regret=0.2304 active=6 (3.5s)
[ 45/50] lhs            e946207e9dfe1876 seed=0 regret=0.1273 active=6 (3.8s)
[ 45/50] sobol          e946207e9dfe1876 seed=0 regret=0.1411 active=6 (3.0s)
[ 45/50] random         e946207e9dfe1876 seed=0 regret=0.1776 active=6 (3.4s)
[ 46/50] lhs            e946207e9dfe1876 seed=1 regret=0.1851 active=6 (3.0s)
[ 46/50] sobol          e946207e9dfe1876 seed=1 regret=0.1040 active=6 (2.3s)
[ 46/50] random         e946207e9dfe1876 seed=1 regret=0.2598 active=6 (2.4s)
[ 47/50] lhs            ef2815cdafff288c seed=0 regret=0.0816 active=6 (3.3s)
[ 47/50] sobol          ef2815cdafff288c seed=0 regret=0.1218 active=6 (3.3s)
[ 47/50] random         ef2815cdafff288c seed=0 regret=0.2740 active=6 (3.5s)
[ 48/50] lhs            ef2815cdafff288c seed=1 regret=0.0361 active=6 (2.1s)
[ 48/50] sobol          ef2815cdafff288c seed=1 regret=0.1149 active=6 (2.3s)
[ 48/50] random         ef2815cdafff288c seed=1 regret=0.1831 active=6 (2.3s)
[ 49/50] lhs            f79c5cf175034acd seed=0 regret=0.0648 active=6 (2.8s)
[ 49/50] sobol          f79c5cf175034acd seed=0 regret=0.1650 active=6 (2.0s)
[ 49/50] random         f79c5cf175034acd seed=0 regret=0.3159 active=6 (2.0s)
[ 50/50] lhs            f79c5cf175034acd seed=1 regret=0.1848 active=6 (1.9s)
[ 50/50] sobol          f79c5cf175034acd seed=1 regret=0.0979 active=6 (2.1s)
[ 50/50] random         f79c5cf175034acd seed=1 regret=0.2619 active=6 (2.6s)

3600 scored rows in 309s
gate failures: 0
