/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
spade-final-2026-08-23 · C1 · hill d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[  67/1100] spade_cf_m0          32bb966a18f1 seed=0   rows=12 (3.0m, eta 46m)
[  68/1100] spade_cf_m4          32bb966a18f1 seed=0   rows=12 (3.0m, eta 46m)
[  69/1100] spade_cf_m8          32bb966a18f1 seed=0   rows=12 (3.1m, eta 46m)
[  70/1100] spade_plate1_only    32bb966a18f1 seed=0   rows=12 (3.1m, eta 45m)
[  71/1100] spade_random_plate2  32bb966a18f1 seed=0   rows=12 (3.1m, eta 45m)
[  72/1100] sobol                32bb966a18f1 seed=0   rows=12 (3.1m, eta 45m)
[  73/1100] lhs                  32bb966a18f1 seed=0   rows=12 (3.2m, eta 45m)
[  74/1100] random               32bb966a18f1 seed=0   rows=12 (3.2m, eta 44m)
[  75/1100] qlognei              32bb966a18f1 seed=0   rows=12 (3.3m, eta 45m)
[  76/1100] qlogei               32bb966a18f1 seed=0   rows=12 (3.5m, eta 47m)
[  77/1100] doe                  32bb966a18f1 seed=0   rows=12 (3.5m, eta 47m)
[  78/1100] spade_cf_m0          32bb966a18f1 seed=1   rows=12 (3.6m, eta 47m)
[  79/1100] spade_cf_m4          32bb966a18f1 seed=1   rows=12 (3.6m, eta 47m)
[  80/1100] spade_cf_m8          32bb966a18f1 seed=1   rows=12 (3.6m, eta 46m)
[  81/1100] spade_plate1_only    32bb966a18f1 seed=1   rows=12 (3.7m, eta 46m)
[  82/1100] spade_random_plate2  32bb966a18f1 seed=1   rows=12 (3.7m, eta 46m)
[  83/1100] sobol                32bb966a18f1 seed=1   rows=12 (3.7m, eta 46m)
[  84/1100] lhs                  32bb966a18f1 seed=1   rows=12 (3.8m, eta 45m)
[  85/1100] random               32bb966a18f1 seed=1   rows=12 (3.8m, eta 45m)
[  86/1100] qlognei              32bb966a18f1 seed=1   rows=12 (3.9m, eta 46m)
[  87/1100] qlogei               32bb966a18f1 seed=1   rows=12 (4.0m, eta 47m)
[  88/1100] doe                  32bb966a18f1 seed=1   rows=12 (4.0m, eta 46m)
[  89/1100] spade_cf_m0          443c180247c1 seed=0   rows=12 (4.1m, eta 46m)
[  90/1100] spade_cf_m4          443c180247c1 seed=0   rows=12 (4.1m, eta 46m)
[  91/1100] spade_cf_m8          443c180247c1 seed=0   rows=12 (4.1m, eta 46m)
[  92/1100] spade_plate1_only    443c180247c1 seed=0   rows=12 (4.2m, eta 46m)
[  93/1100] spade_random_plate2  443c180247c1 seed=0   rows=12 (4.2m, eta 46m)
[  94/1100] sobol                443c180247c1 seed=0   rows=12 (4.2m, eta 45m)
[  95/1100] lhs                  443c180247c1 seed=0   rows=12 (4.3m, eta 45m)
[  96/1100] random               443c180247c1 seed=0   rows=12 (4.3m, eta 45m)
[  97/1100] qlognei              443c180247c1 seed=0   rows=12 (4.4m, eta 46m)
[  98/1100] qlogei               443c180247c1 seed=0   rows=12 (4.5m, eta 47m)
[  99/1100] doe                  443c180247c1 seed=0   rows=12 (4.6m, eta 46m)
[ 100/1100] spade_cf_m0          443c180247c1 seed=1   rows=12 (4.6m, eta 46m)
[ 101/1100] spade_cf_m4          443c180247c1 seed=1   rows=12 (4.6m, eta 46m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[NumericalWarning('A not p.d., added jitter of 1.0e-08 to the diagonal'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)

[ 102/1100] spade_cf_m8          443c180247c1 seed=1   rows=12 (4.7m, eta 46m)
[ 103/1100] spade_plate1_only    443c180247c1 seed=1   rows=12 (4.7m, eta 45m)
[ 104/1100] spade_random_plate2  443c180247c1 seed=1   rows=12 (4.7m, eta 45m)
[ 105/1100] sobol                443c180247c1 seed=1   rows=12 (4.7m, eta 45m)
[ 106/1100] lhs                  443c180247c1 seed=1   rows=12 (4.8m, eta 45m)
[ 107/1100] random               443c180247c1 seed=1   rows=12 (4.8m, eta 45m)
[ 108/1100] qlognei              443c180247c1 seed=1   rows=12 (4.9m, eta 45m)
[ 109/1100] qlogei               443c180247c1 seed=1   rows=12 (5.0m, eta 46m)
[ 110/1100] doe                  443c180247c1 seed=1   rows=12 (5.0m, eta 45m)
[ 111/1100] spade_cf_m0          48b1324dd046 seed=0   rows=12 (5.1m, eta 45m)
[ 112/1100] spade_cf_m4          48b1324dd046 seed=0   rows=12 (5.1m, eta 45m)
[ 113/1100] spade_cf_m8          48b1324dd046 seed=0   rows=12 (5.1m, eta 45m)
[ 114/1100] spade_plate1_only    48b1324dd046 seed=0   rows=12 (5.2m, eta 45m)
[ 115/1100] spade_random_plate2  48b1324dd046 seed=0   rows=12 (5.2m, eta 44m)
[ 116/1100] sobol                48b1324dd046 seed=0   rows=12 (5.2m, eta 44m)
[ 117/1100] lhs                  48b1324dd046 seed=0   rows=12 (5.2m, eta 44m)
[ 118/1100] random               48b1324dd046 seed=0   rows=12 (5.3m, eta 44m)
[ 119/1100] qlognei              48b1324dd046 seed=0   rows=12 (5.4m, eta 44m)
[ 120/1100] qlogei               48b1324dd046 seed=0   rows=12 (5.5m, eta 45m)
