spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[  71/1100] spade_random_plate2  32bb966a18f1 seed=0   rows=12 (3.6m, eta 52m)
[  72/1100] sobol                32bb966a18f1 seed=0   rows=12 (3.6m, eta 52m)
[  73/1100] lhs                  32bb966a18f1 seed=0   rows=12 (3.7m, eta 51m)
[  74/1100] random               32bb966a18f1 seed=0   rows=12 (3.7m, eta 51m)
[  75/1100] qlognei              32bb966a18f1 seed=0   rows=12 (3.9m, eta 53m)
[  76/1100] qlogei               32bb966a18f1 seed=0   rows=12 (4.0m, eta 54m)
[  77/1100] doe                  32bb966a18f1 seed=0   rows=12 (4.0m, eta 54m)
[  78/1100] spade_cf_m0          32bb966a18f1 seed=1   rows=12 (4.1m, eta 53m)
[  79/1100] spade_cf_m4          32bb966a18f1 seed=1   rows=12 (4.1m, eta 53m)
[  80/1100] spade_cf_m8          32bb966a18f1 seed=1   rows=12 (4.1m, eta 53m)
[  81/1100] spade_plate1_only    32bb966a18f1 seed=1   rows=12 (4.1m, eta 52m)
[  82/1100] spade_random_plate2  32bb966a18f1 seed=1   rows=12 (4.2m, eta 52m)
[  83/1100] sobol                32bb966a18f1 seed=1   rows=12 (4.2m, eta 52m)
[  84/1100] lhs                  32bb966a18f1 seed=1   rows=12 (4.2m, eta 51m)
[  85/1100] random               32bb966a18f1 seed=1   rows=12 (4.3m, eta 51m)
[  86/1100] qlognei              32bb966a18f1 seed=1   rows=12 (4.4m, eta 52m)
[  87/1100] qlogei               32bb966a18f1 seed=1   rows=12 (4.6m, eta 53m)
[  88/1100] doe                  32bb966a18f1 seed=1   rows=12 (4.6m, eta 53m)
[  89/1100] spade_cf_m0          443c180247c1 seed=0   rows=12 (4.6m, eta 52m)
[  90/1100] spade_cf_m4          443c180247c1 seed=0   rows=12 (4.7m, eta 52m)
[  91/1100] spade_cf_m8          443c180247c1 seed=0   rows=12 (4.7m, eta 52m)
[  92/1100] spade_plate1_only    443c180247c1 seed=0   rows=12 (4.7m, eta 52m)
[  93/1100] spade_random_plate2  443c180247c1 seed=0   rows=12 (4.8m, eta 51m)
[  94/1100] sobol                443c180247c1 seed=0   rows=12 (4.8m, eta 51m)
[  95/1100] lhs                  443c180247c1 seed=0   rows=12 (4.8m, eta 51m)
[  96/1100] random               443c180247c1 seed=0   rows=12 (4.9m, eta 51m)
[  97/1100] qlognei              443c180247c1 seed=0   rows=12 (5.1m, eta 52m)
[  98/1100] qlogei               443c180247c1 seed=0   rows=12 (5.2m, eta 53m)
[  99/1100] doe                  443c180247c1 seed=0   rows=12 (5.2m, eta 52m)
[ 100/1100] spade_cf_m0          443c180247c1 seed=1   rows=12 (5.2m, eta 52m)
[ 101/1100] spade_cf_m4          443c180247c1 seed=1   rows=12 (5.3m, eta 52m)
[ 102/1100] spade_cf_m8          443c180247c1 seed=1   rows=12 (5.3m, eta 52m)
[ 103/1100] spade_plate1_only    443c180247c1 seed=1   rows=12 (5.3m, eta 51m)
[ 104/1100] spade_random_plate2  443c180247c1 seed=1   rows=12 (5.3m, eta 51m)
[ 105/1100] sobol                443c180247c1 seed=1   rows=12 (5.4m, eta 51m)
[ 106/1100] lhs                  443c180247c1 seed=1   rows=12 (5.4m, eta 51m)
[ 107/1100] random               443c180247c1 seed=1   rows=12 (5.4m, eta 50m)
[ 108/1100] qlognei              443c180247c1 seed=1   rows=12 (5.6m, eta 52m)
[ 109/1100] qlogei               443c180247c1 seed=1   rows=12 (5.7m, eta 52m)
[ 110/1100] doe                  443c180247c1 seed=1   rows=12 (5.8m, eta 52m)
[ 111/1100] spade_cf_m0          48b1324dd046 seed=0   rows=12 (5.8m, eta 52m)
[ 112/1100] spade_cf_m4          48b1324dd046 seed=0   rows=12 (5.9m, eta 52m)
[ 113/1100] spade_cf_m8          48b1324dd046 seed=0   rows=12 (5.9m, eta 51m)
[ 114/1100] spade_plate1_only    48b1324dd046 seed=0   rows=12 (5.9m, eta 51m)
[ 115/1100] spade_random_plate2  48b1324dd046 seed=0   rows=12 (6.0m, eta 51m)
[ 116/1100] sobol                48b1324dd046 seed=0   rows=12 (6.0m, eta 51m)
[ 117/1100] lhs                  48b1324dd046 seed=0   rows=12 (6.0m, eta 51m)
[ 118/1100] random               48b1324dd046 seed=0   rows=12 (6.1m, eta 50m)
[ 119/1100] qlognei              48b1324dd046 seed=0   rows=12 (6.2m, eta 51m)
[ 120/1100] qlogei               48b1324dd046 seed=0   rows=12 (6.3m, eta 52m)
[ 121/1100] doe                  48b1324dd046 seed=0   rows=12 (6.4m, eta 52m)
[ 122/1100] spade_cf_m0          48b1324dd046 seed=1   rows=12 (6.4m, eta 52m)
[ 123/1100] spade_cf_m4          48b1324dd046 seed=1   rows=12 (6.5m, eta 51m)
[ 124/1100] spade_cf_m8          48b1324dd046 seed=1   rows=12 (6.5m, eta 51m)
[ 125/1100] spade_plate1_only    48b1324dd046 seed=1   rows=12 (6.5m, eta 51m)
[ 126/1100] spade_random_plate2  48b1324dd046 seed=1   rows=12 (6.6m, eta 51m)
[ 127/1100] sobol                48b1324dd046 seed=1   rows=12 (6.6m, eta 51m)
[ 128/1100] lhs                  48b1324dd046 seed=1   rows=12 (6.6m, eta 50m)
[ 129/1100] random               48b1324dd046 seed=1   rows=12 (6.7m, eta 50m)
[ 130/1100] qlognei              48b1324dd046 seed=1   rows=12 (6.8m, eta 51m)
[ 131/1100] qlogei               48b1324dd046 seed=1   rows=12 (6.9m, eta 51m)
[ 132/1100] doe                  48b1324dd046 seed=1   rows=12 (6.9m, eta 51m)
[ 133/1100] spade_cf_m0          4d4f7158b65b seed=0   rows=12 (7.0m, eta 51m)
[ 134/1100] spade_cf_m4          4d4f7158b65b seed=0   rows=12 (7.0m, eta 51m)
[ 135/1100] spade_cf_m8          4d4f7158b65b seed=0   rows=12 (7.0m, eta 50m)
[ 136/1100] spade_plate1_only    4d4f7158b65b seed=0   rows=12 (7.1m, eta 50m)
[ 137/1100] spade_random_plate2  4d4f7158b65b seed=0   rows=12 (7.1m, eta 50m)
[ 138/1100] sobol                4d4f7158b65b seed=0   rows=12 (7.1m, eta 50m)
[ 139/1100] lhs                  4d4f7158b65b seed=0   rows=12 (7.2m, eta 50m)
[ 140/1100] random               4d4f7158b65b seed=0   rows=12 (7.2m, eta 49m)
[ 141/1100] qlognei              4d4f7158b65b seed=0   rows=12 (7.3m, eta 50m)
[ 142/1100] qlogei               4d4f7158b65b seed=0   rows=12 (7.5m, eta 50m)
[ 143/1100] doe                  4d4f7158b65b seed=0   rows=12 (7.5m, eta 50m)
[ 144/1100] spade_cf_m0          4d4f7158b65b seed=1   rows=12 (7.5m, eta 50m)
[ 145/1100] spade_cf_m4          4d4f7158b65b seed=1   rows=12 (7.6m, eta 50m)
[ 146/1100] spade_cf_m8          4d4f7158b65b seed=1   rows=12 (7.6m, eta 50m)
[ 147/1100] spade_plate1_only    4d4f7158b65b seed=1   rows=12 (7.6m, eta 49m)
[ 148/1100] spade_random_plate2  4d4f7158b65b seed=1   rows=12 (7.7m, eta 49m)
[ 149/1100] sobol                4d4f7158b65b seed=1   rows=12 (7.7m, eta 49m)
[ 150/1100] lhs                  4d4f7158b65b seed=1   rows=12 (7.7m, eta 49m)
[ 151/1100] random               4d4f7158b65b seed=1   rows=12 (7.8m, eta 49m)
[ 152/1100] qlognei              4d4f7158b65b seed=1   rows=12 (8.0m, eta 50m)
[ 153/1100] qlogei               4d4f7158b65b seed=1   rows=12 (8.1m, eta 50m)
[ 154/1100] doe                  4d4f7158b65b seed=1   rows=12 (8.1m, eta 50m)
[ 155/1100] spade_cf_m0          51cf489c521a seed=0   rows=12 (8.1m, eta 50m)
[ 156/1100] spade_cf_m4          51cf489c521a seed=0   rows=12 (8.2m, eta 50m)
[ 157/1100] spade_cf_m8          51cf489c521a seed=0   rows=12 (8.2m, eta 49m)
[ 158/1100] spade_plate1_only    51cf489c521a seed=0   rows=12 (8.3m, eta 49m)
[ 159/1100] spade_random_plate2  51cf489c521a seed=0   rows=12 (8.3m, eta 49m)
[ 160/1100] sobol                51cf489c521a seed=0   rows=12 (8.3m, eta 49m)
[ 161/1100] lhs                  51cf489c521a seed=0   rows=12 (8.4m, eta 49m)
[ 162/1100] random               51cf489c521a seed=0   rows=12 (8.4m, eta 49m)
[ 163/1100] qlognei              51cf489c521a seed=0   rows=12 (8.6m, eta 49m)
[ 164/1100] qlogei               51cf489c521a seed=0   rows=12 (8.7m, eta 50m)
[ 165/1100] doe                  51cf489c521a seed=0   rows=12 (8.8m, eta 50m)
[ 166/1100] spade_cf_m0          51cf489c521a seed=1   rows=12 (8.8m, eta 49m)
[ 167/1100] spade_cf_m4          51cf489c521a seed=1   rows=12 (8.8m, eta 49m)
